country_id,name
1,SRB
2,ESP
3,RUS
4,ITA
5,GRE
6,GER
7,DEN
8,POL
9,USA
10,NOR
11,AUS
12,BUL
13,GBR
14,CHI
15,FRA
16,ARG
17,NED
18,CAN
19,CZE
20,KAZ
21,CRO
22,AUT
23,JPN
24,SUI
25,CHN
26,HUN
27,POR
28,FIN
29,BRA
30,PER
31,COL
32,BEL
33,BOL
34,SVK
35,MDA
36,SWE
37,IND
38,RSA
39,BIH
40,IRL
41,UKR
42,BLR
43,JOR
44,KOR
45,GEO
46,ECU
47,TPE
48,LTU
49,URU
50,SLO
51,TUR
52,LAT
53,EGY
54,UZB
55,ISR
56,ROU
57,BAR
58,CYP
59,TUN
60,LUX
61,EST
62,DOM
63,ESA
